kelime,sesli,anlam,hece
abartılı,aaıı,"Olduğundan fazla gösterilen; abartmalı, mübalağalı",4
abartılma,aaıa,Abartılmak işi,4
abartılmak,aaıa,Abartma işine konu olmak,4
abartısız,aaıı,"Olduğu gibi gösterilen; abartmasız, mübalağasız",4
abartısızlık,aaııı,Abartısız olma durumu,5
abartış,aaı,Abartmak durumu,3
abartma,aaa,Abartmak durumu; izam (II),3
abartmacı,aaaı,abartıcı,4
abartmacılık,aaaıı,abartıcılık,5
abartmak,aaa,"Bir nesneyi veya durumu olduğundan daha önemli, daha büyük veya daha çok göstermek; şişirmek, mübalağa etmek",3
abartmalı,aaaı,abartılı,4
abartmasız,aaaı,abartısız,4
abasız,aaı,Aba giymemiş olan,3
abaşo,aao,Gemiyi baştan veya kıçtan halatla karaya bağlama,3
abat olmak,aaoa,"rahata kavuşmak, gönenmek",4
abat,aa,bayındır,2
Abaza peyniri,aaaeii,İnek sütünden yapılan ve yassı biçimde dilimlenen bir kaşar peyniri türü; Abhaz peyniri,6
Abazaca,aaaa,Abazalar tarafından kullanılan dil; Abhazca,4
abazan,aaa,Uzun süre cinsel ilişkide bulunmayan (erkek),3
Abbas,aa,"""Yola çıkacak veya ölümü yaklaşan kimse"" anlamlarındaki Abbas yolcu deyiminde geçen bir söz",2
abdal,aa,"Dilenci kılıklı, üstü başı perişan kimse",2
Abdal,aa,"Dilenci kılıklı, üstü başı perişan kimse",2
abdallık,aaı,Abdal olma durumu,3
abdest,ae,"İslam dinine göre namaz kılmak, Kur’an okumak, Kâbe’yi tavaf etmek gibi ibadetleri yerine getirebilmek için niyet ederek el, ağız, burun, yüz, kol ve ayakları yıkamak; baş, kulaklar ve boynun iki yanını meshetmek yoluyla arınma",2
abdestbozan,aeoa,tenya,4
abdestbozan otu,aeoaou,"Gülgillerden, almaşık yapraklı, yeşilimsi veya kan kırmızı çiçekler açan, idrar söktürmede ve kan dindirmede kullanılan bir bitki (Poterium spinosum)",6
abdesthane,aeae,tuvalet,4
abdestli,aei,Abdest almış (kimse),3
abdestlik,aei,Abdest alınacak yer,3
abdestlilik,aeii,Abdestli olma durumu,4
abdestsiz,aei,Abdest almamış olan (kimse),3
abdestsizlik,aeii,Abdestsiz olma durumu,4
abdiâciz,aii,Kişinin alçak gönüllülük göstermek amacıyla kendisini tanımlamak için söylediği bir söz,3
abdülleziz,aüei,"Akdeniz Bölgesi'nde ve Afrika'da yetişen, çok yıllık, yumrulu ve otsu bir bitki (Cyperus esculentus)",4
abece,aee,alfabe,3
abece sırası,aeeıaı,alfabe sırası,6
abecesel,aeee,alfabetik,4
aberasyon,aeao,sapınç,4
abes,ae,"Gereksiz, yersiz, boş olan",2
abeslik,aei,Abes olma durumu,3
abıhayat,aıaa,"Efsanelere göre içen kimseye ölümsüzlük sağladığına inanılan bir su; bengi su, dirim suyu",4
abıkevser,aıee,"Cennette bulunduğuna inanılan ırmak, havuz veya çeşmenin suyu",4
abide,aie,anıt,3
abideleşme,aieee,anıtlaşma,5
abideleşmek,aieee,anıtlaşmak,5
abideleştirme,aieeie,anıtlaştırma,6
abideleştirmek,aieeie,anıtlaştırmak,6
abidevi,aiei,anıtsal,4
abidik gubidik,aiiuii,saçma,6
abis,ai,Deniz ve okyanus sularında güneş ışığının ulaşamadığı derin yerler,2
abiye,aie,gece kıyafeti,3
abla,aa,"Bir kimsenin kendisinden büyük olan kız kardeşi; aba, bacı",2
ablacı,aaı,sevici,3
ablacılık,aaıı,sevicilik,4
ablak,aa,Yayvan ve dolgun (yüz),2
ablakça,aaa,"Ablak gibi, biraz ablak",3
ablaklık,aaı,Ablak olma durumu,3
ablalık,aaı,Abla olma durumu,3
ablatif,aai,çıkma durumu,3
ablatya,aaa,Geniş ve dar gözlü olmak üzere iki türü bulunan bir balık ağı türü,3
abli,ai,"Yatay serenlerin ucuna bağlı bulunan ve bunları sağa, sola veya ortaya çevirmek için yararlanılan halat veya palanga",2
abluka,aua,kuşatma,3
abone,aoe,Bir şeyi sürekli olarak kullanmak için hizmeti verenle sözleşme yapan kimse; sürdürümcü,3
abonelik,aoei,Abone olma durumu,4
abonman,aoa,Bir satıcı veya kamu kuruluşu ile alıcılar arasında yapılan anlaşma; sürdürüm,3
aborda,aoa,"Bir deniz teknesinin başka bir tekneye, bir iskeleye veya bir rıhtıma yanını vererek yanaşması",3
aborjin,aoi,Avustralya yerlisi,3
abra,aa,dara,2
abrakadabra,aaaaa,Eski çağlarda bazı hastalıklara iyi geldiğine inanılan büyülü söz,5
abrama,aaa,Abramak işi,3
abramak,aaa,Fırtınalı havalarda gemiyi ustalıkla yönetmek,3
abraş,aa,Alaca benekli,2
absorbe,aoe,soğurma,3
abstraksiyonizm,aaioi,soyutçuluk,5
abstre,ae,soyut,2
abstre sanat,aeaa,soyut sanat,4
abstre sayı,aeaı,soyut sayı,4
absürt,aü,saçma,2
abu,au,abo,2
abuhava,auaa,iklim,4
abuk sabuk,auau,saçma,4
abuk sabukluk,auauu,saçmalık,5
abuk subuk,auuu,saçma,4
abuk subukluk,auuuu,saçmalık,5
abuli,aui,irade yitimi,3
abullabut,auau,Söz ve davranışlarında incelikten yoksun olan (kimse),4
abullabutluk,auauu,Abullabut olma durumu,5
abur cubur,auuu,Yararı gözetilmeksizin rastgele yenilen şeyler,4
abur cuburluk,auuuu,Abur cubur olma durumu,5
abus,au,somurtkan,2
acaba,aaa,"Merak, kararsızlık veya kuşku anlatan bir söz; acep",3
acar,aa,atılgan,2
Acar,aa,atılgan,2
Acara,aaa,Acar,3
acarlaşma,aaaa,Acarlaşmak durumu,4
acarlaşmak,aaaa,Acar duruma gelmek,4
acarlık,aaı,Acar olma durumu,3
acayip olmak,aaioa,yadırganacak bir duruma gelmek,5
acayip,aai,"Sağduyuya, göreneğe, olağana aykırı, yadırganan; yabansı, garip, tuhaf",3
acayipleşme,aaiee,Acayipleşmek durumu,5
acayipleşmek,aaiee,"Başkalaşmak, yadırganacak bir duruma gelmek",5
acayipleştirme,aaieie,Acayipleştirmek işi,6
acayipleştirmek,aaieie,Yadırganacak bir duruma getirmek,6
acayiplik,aaii,"Acayip olma durumu; yabansılık, gariplik, tuhaflık",4
accelerando,aeeao,Tempoyu aşamalı bir şekilde hızlandırarak,5
ace,ae,343 servis sayısı,2
acele,aee,"Hızlı yapılan; çabuk, tez (I), ivedi, becit, müstacel, şitap",3
acele posta,aeeoa,Özel ücreti olan ve alıcısına hızlı bir biçimde teslim edilen posta,5
aceleci,aeei,"Tez iş gören, çabuk davranan; canı tez, farfara, fırtına gibi, içi tez, evgin, ivecen, iveğen, kıvrak, sabırsız, tez canlı, telaşlı, acul",4
acelecilik,aeeii,"Aceleci olma durumu; ivecenlik, tez canlılık",5
aceleleştirme,aeeeie,çabuklaştırma,6
aceleleştirmek,aeeeie,çabuklaştırmak,6
acem,ae,Klasik Türk müziğinde kullanılan birleşik bir makam,2
Acem,ae,Klasik Türk müziğinde kullanılan birleşik bir makam,2
Acem halayı,aeaaı,Doğu ve Güneydoğu Anadolu'da oynanan bir halk oyunu,5
Acem işi,aeii,Farslara özgü olan,4
Acem kılıcı,aeııı,İki tarafı keskin olan kılıç,5
Acem lalesi,aeaei,"Taşkırangillerden, turuncu ve sarı çiçekler açan, yıllık ve çok yıllık türleri olan, saksıda ve tarlada üretilebilen bir süs bitkisi; güneştopu (Eschecholtzia californica)",5
Acem pilavı,aeiaı,"İçine safran ve zencefil eklenerek yapılan, İran usulü bir pilav türü",5
acemaşiran,aeaia,Klasik Türk müziğinde kullanılan şet makamlarından biri,5
acemborusu,aeouu,"Canlı kırmızı renkli çiçek açan, uzun boylu bir tür süs bitkisi (Bignonia radicams)",5
acembuselik,aeuei,Klasik Türk müziğinde acem makamı ile buselik beşlisinin birleşmesinden oluşan birleşik bir makam,5
Acemce,aee,Farsça,3
acemi,aei,"Bir işin yabancısı olan, eli işe alışmamış, bir işi beceremeyen",3
acemi ağası,aeiaaı,Hareme yeni alınan cariyelerin ağası,6
acemi çaylak,aeiaa,"Deneyimsiz, toy, beceriksiz kimse",5
acemi er,aeie,Askere yeni alınan ve eğitim dönemini henüz tamamlamamış er; kuş,4
acemi ocağı,aeioaı,Osmanlı ordusuna kapı kulu eri yetiştirmek için kurulan okul,6
acemi oğlanı,aeioaı,Yeniçeri Ocağı'nda yetiştirilmek üzere tutsaklardan veya Hristiyanlardan devşirme yoluyla toplanan çocuk,6
acemice,aeie,"Acemi bir biçimde; acemicesine, toyca",4
acemileşme,aeiee,Acemileşmek durumu,5
acemileşmek,aeiee,Beceriksizlik göstermek,5
acemilik,aeii,Acemi olma durumu,4
acemkürdi,aeüi,Klasik Türk müziğinde acem ile kürdi makamlarının birleşmesinden meydana gelen birleşik bir makam,4
Acemleşme,aeee,Acemleşmek durumu; Farslaşma,4
Acemleşmek,aeee,Acemlere özgü yaşayış tarzını benimsemek; Farslaşmak,4
Acemleştirme,aeeie,Acemleştirmek işi; Farslaştırma,5
Acemleştirmek,aeeie,Acemlere özgü yaşayış tarzını benimsetmek; Farslaştırmak,5
acente,aee,Bir kuruluşun yaptığı işi onun adına kazanç karşılığında yürüten daha küçük kuruluş,3
acentelik,aeei,Acentenin yaptığı iş,4
acep,ae,acaba,2
aceze,aee,"Âcizler, âciz kimseler",3
acı,aı,"Bazı maddelerin dilde bıraktığı yakıcı duyu, tatlı karşıtı",2
acı acı,aıaı,"Üzüntülü bir biçimde, dokunaklı olarak",4
acı ağaç,aıaa,"Sedef otugillerden, sıcak ülkelerde yetişen, kabuğu ve odunu hekimlikte kullanılan küçük bir ağaç; kavasya (Quassia amara)",4
acı badem,aıae,"Gülgillerden, dikenli veya dikensiz, meyvelerinin kabukları kalın, çekirdekleri küçük olan bir tür badem ağacı (Amygdalus amara)",4
acı badem kurabiyesi,aıaeuaiei,"Toz şeker, pirinç unu, öğütülmüş acı badem, yumurta beyazı ile yapılan ve üzerine acı badem konularak fırında pişirilen bir tür kurabiye",9
acı bakla,aıaa,termiye,4
acı bal,aıa,deli bal,3
acı balık,aıaı,"Sazangillerden, Avrupa'da ve ülkemiz göllerinde yaşayan, 8-10 santimetre uzunluğunda bir balık; gördek (Rhodeus amarus)",4
acı ceviz,aıei,"Genellikle Kuzey Amerika'da yetişen, güzel görünüşlü bir tür ceviz",4
acı çiğdem,aıie,"Zambakgillerden, 10-30 santimetre boyunda, şerit yapraklı ve açık renk çiçekli, tohumları romatizma tedavisinde kullanılan zehirli bir tür çiğdem; güz çiğdemi (Colchicum autumnale)",4
acı elma,aıea,Ebucehil karpuzu,4
acı hıyar,aııa,it hıyarı,4
acı karpuz,aıau,Ebucehil karpuzu,4
acı kavak,aıaa,titrek kavak,4
acı kavun,aıau,Ebucehil karpuzu,4
acı kök,aıö,Lohusa otu köklerinin kurutularak dövülmesiyle elde edilen acı bir toz,3
acı kuvvet,aıue,"Sert, etkili, zorlu kuvvet",4
acı marul,aıau,"Birleşikgillerden, tadı acı, yaprakları dişli, sürgününden çıkan sütü uyuşturucu ve yatıştırıcı olarak kullanılan iki yıllık bir bitki (Lactuca virosa)",4
acı meyan,aıea,dikenli meyan,4
acı ot,aıo,"Kuzey Anadolu dağlarının ormanlarında yetişen, toprak altında bilek kalınlığında kökü bulunan çok yıllık ve otsu bir bitki (Tamus communis)",3
acı pelin,aıei,pelin,4
acı sakız,aıaı,çam sakızı,4
acı söz,aıö,"Kişinin onuruna dokunan, gönlünü inciten söz",3
acı su,aıu,İçindeki minerallerin etkisiyle tadı sert olan kuyu veya pınar suyu,3
acı tatlı,aıaı,şöyle böyle,4
acı yavşan,aıaa,tüylü dalak otu,4
acı yonca,aıoa,"Kızılkantarongillerden, bataklık yerlerde yetişen, kötü kokulu ve çok acı olan yaprakları hekimlikte kullanılan bir bitki (Menyanthes trifoliata)",4
acıca,aıa,Oldukça acı,3
Acıgöl,aıö,Nevşehir iline bağlı ilçelerden biri,3
acıkılma,aııa,Acıkılmak işi,4
acıkılmak,aııa,Acıkma işine konu olmak,4
acıkış,aıı,Acıkmak durumu,3
acıklı,aıı,"Acındıracak, acı verecek nitelikte olan; elim, koygun, dramatik",3
acıklı komedi,aııoei,Trajediye özgü ciddi ve acı verici olaylarla geleneksel olarak komediye özgü yöntemlerin içinde karşıtlaştığı tiyatro eseri; trajikomedi,6
acıklılık,aııı,Acıklı olma durumu,4
acıkma,aıa,Acıkmak işi,3
acıkmak,aıa,Yemek yeme gereksinimi duymak,3
acıktırma,aııa,Acıktırmak işi,4
acıktırmak,aııa,Açlık duymasına sebep olmak,4
acılanma,aıaa,Acılanmak durumu,4
acılanmak,aıaa,"Tadı acı olmak, acı duruma gelmek",4
acılaşma,aıaa,Acılaşmak durumu,4
acılaşmak,aıaa,Tadı bozulmak; acımak,4
acılaştırma,aıaıa,Acılaştırmak işi veya durumu,5
acılaştırmak,aıaıa,Acı bir duruma getirmek,5
acılı,aıı,Acı katılmış olan,3
acılık,aıı,Acı olma durumu; meraret,3
acılılık,aııı,Acılı olma durumu,4
acıma,aıa,Acımak durumu,3
acımak,aıa,acılaşmak,3
acımasız,aıaı,Acıma duygusu olmayan; zalimce,4
acımasızca,aıaıa,"Acımasız olarak, acımasız bir biçimde; acımasızcasına, zalimce, zalimcesine, zalimane",5
acımık,aıı,mavikantaron,3
acımsı,aıı,"Acıyı andıran, acıya benzeyen, acı gibi; acımtırak",3
acımtırak,aııa,acımsı,4
acındırma,aııa,Acındırmak işi,4
acındırmak,aııa,"Birinin acımasına yol açmak, birini merhamete getirmek",4
acınılma,aııa,Acınılmak işi,4
acınılmak,aııa,Acınma işine konu olmak,4
acınma,aıa,Acınmak durumu,3
acınmak,aıa,Başkalarının merhametine muhtaç duruma düşmek,3
Acıpayam,aıaa,Denizli iline bağlı ilçelerden biri,4
acırak,aıa,Az acı,3
acırga,aıa,yaban turpu,3
acısız,aıı,Tadı acı olmayan,3
acısızlık,aııı,Acısız olma durumu,4
acıtış,aıı,Acıtmak işi,3
acıtma,aıa,Acıtmak işi,3
acıtmak,aıa,Acılık vermek,3
acıyış,aıı,Acımak durumu,3
acibe,aie,"Görülmemiş, alışılmamış, şaşılacak veya yadırganacak şey",3
acil,ai,"Hemen yapılması gereken; ivedi, ivedili, evgin, müstacel",2
acil ihtiyaç kredisi,aiiiaeii,artı para,8
acil servis,aiei,Sağlık kuruluşlarında acilen bakılması gereken hastaların ilk bakımlarının yapıldığı yer,4
acilen,aie,çabucak,3
âciz,i,güçsüzlük,1
aciz,ai,güçsüzlük,2
âcizane,iae,"Söz söyleyen kimsenin, kendi yaptıklarını abartmamak için kullandığı ""âcizlere yakışacak bir biçimde"" anlamında kullanılan bir nezaket sözü",3
âcizlik,ii,güçsüzlük,2
acube,aue,Tuhaf kimse,3
acul,au,aceleci,2
acun,au,dünya,2
acur,au,"Kabakgillerden, Ege ve Güneydoğu Anadolu’da yetişen, kabuğu çizgili ve tüylü, yeşil veya sarımtırak, üzeri yeşil lekeli, bir yıllık, otsu, irice bir meyve (Cucumis flexuosus)",2
acuze,aue,"Huysuz, yaşlı kadın",3
acyo,ao,Herhangi bir paranın gerçek değeriyle sürüm değeri arasında veya bir ticaret senedinin üzerinde yazılı miktar ile indirimden sonraki tutarı arasında doğan fark,2
acyocu,aou,"Borsa veya piyasada tahvil için çeşitli hileler uygulayan, dolaplar çeviren kimse",3
aç,a,Yemek yemesi gereken; tok karşıtı,1
aç biilaç,aiia,Aç ve bakımsız bir biçimde,4
açacak,aaa,Şişelenmiş bazı içeceklerin kapaklarını açmaya yarayan araç,3
açan,aa,"Oynak kemiklerin arasındaki açıları genişletmeye yarayan kasların genel adı, büken karşıtı",2
açar,aa,anahtar,2
açelya,aea,"Kokusuz, güzel renkli çiçekler açan bir bitki (Rhododendron)",3
açgöz,aö,açgözlü,2
açgözlü,aöü,"Mala, yiyeceğe ve içeceğe doymak bilmeyen; açgöz, gözü aç, gözü doymaz, haris, tamahkâr, tokgözlü karşıtı",3
açgözlülük,aöüü,"Açgözlü olma durumu; açgözlük, doymazlık, gözü doymazlık, harislik, tamahkârlık, tamah",4
açı,aı,Birbirini kesen iki yüzey veya aynı noktadan çıkan iki yarım doğrunun oluşturduğu geometrik biçim; zaviye,2
açı ölçüm,aıöü,Açı ölçmede söz konusu olan yöntem ve teknik,4
açığa alınma,aıaaıa,Açığa alınmak işi,6
açığa alma,aıaaa,Açığa almak işi,5
açık açık,aıaı,Saklamaksızın,4
açık ağıl,aıaı,"Koyunların ve keçilerin barındırıldıkları üstü açık, etrafı taş duvar veya çitlerle çevrili basit barınak",4
açık ağızlı,aıaıı,"Yerli yersiz, çok konuşan (kimse)",5
açık alan,aıaa,"Şehrin gürültüsünden uzak, insanların dinlenebilecekleri çeşitli bitkilerle kaplı yer",4
açık artırma,aıaıa,"Bir malın satışında alıcılar arasında fiyat artırma yarışına dayanan satış biçimi; artırma, müzayede",5
açık bilet,aıie,Tarihi kararlaştırılmamış yolculuklarda kullanılmak üzere belirli bir dönem için geçerli olan bilet,4
açık bono,aıoo,Para hanesi boş bırakılarak imza edilen bono; açık senet,4
açık bölge,aıöe,serbest bölge,4
açık büfe,aıüe,Yiyecek ve içeceklerin serbestçe seçilip alındığı servis düzeni,4
açık celse,aıee,açık duruşma,4
açık ciro,aıio,Senet veya çekin arkasının kime ödeneceği belirtilmeden imzalanmasıyla yapılan ciro,4
açık çek,aıe,Üzerine para miktarı yazılmamış çek,3
açık deniz,aıei,"Denizin, kara sularının dışında kalan bölümü",4
açık devre,aıee,Bir yalıtkanla üzerinden elektrik akımının sürekli olarak geçmesinin engellendiği devre,4
açık dolaşım sistemi,aıoaıiei,Genellikle bütün eklem bacaklılarda ve birçok yumuşakçada bulunan atardamar ve kan boşluğundan oluşmuş açık bir dolaşım sistemi,8
açık durum,aıuu,"Güreşte vücudun dizler bükülü, ayaklar açık, dirsekler gövdeye yakın, kollar yarı gergin olarak aldığı durum",4
açık duruşma,aıuua,Herkesin dinleyebileceği duruşma; açık celse,5
açık düşme,aıüe,Açık düşmek işi,4
açık eksiltme,aıeie,"Yaptırılacak bir işin, satın alınacak bir malın ucuza sağlanması için işi yapacak veya malı satacak kişiler arasında fiyat düşürme yarışına dayanan işlem",5
açık elli,aıei,cömert,4
açık ellilik,aıeii,cömertlik,5
açık fikirli,aıiii,"Olayları ve özellikle yenilikleri iyi anlayıp gereği gibi karşılayabilen, düşündüğünü olduğu gibi söyleyebilen (kimse); açık görüşlü",5
açık fikirlilik,aıiiii,Açık fikirli olma durumu; açık görüşlülük,6
açık görüş,aıöü,"Cezaevlerinde yatanlarla yakınlarının belirli günlerde, aralarında herhangi bir fiziksel engel olmaksızın yaptıkları görüşme biçimi",4
açık gri,aıi,Grinin bir veya birkaç ton açığı,3
açık hava,aıaa,"Bahçe, park gibi yapı dışı olan yer",4
açık hava müzesi,aıaaüei,"Açık havadan etkilenmeyecek etnografik eserlerin, evlerin, işlik vb. sivil yapıların sergilendiği bir bölgede kurulan üstü açık müze",7
açık hava sineması,aıaaieaı,"Yazın veya iklimi elverişli yerlerde geceleri çalışan, üstü açık, yanları kapalı sinema",8
açık hava tiyatrosu,aıaaiaou,"Yazın veya iklimi elverişli yerlerde geceleri çalışan, üstü açık, yanları kapalı tiyatro",8
açık hece,aıee,Ünlü ile biten veya tek ünlüden oluşan hece; açık seslem,4
açık hesap,aıea,Peşin para veya bono vermeden yapılan alışveriş,4
açık imza,aıia,"Üzeri boş bırakılan bir kâğıdın altına, dolduracak olana güvenilerek atılan imza",4
açık işletme,aıiee,Maden yatağını örten verimsiz topraklar kaldırıldıktan sonra açık havada kurulan işletme,5
açık kahverengi,aıaeei,"Kahverenginin bir veya birkaç ton açığı; devetüyü, sütlü kahve, kestane rengi, kestane dorusu, pekmezköpüğü",6
açık kalp ameliyatı,aıaaeiaı,Göğüs kemiği açılıp ameliyat sırasında kalp ve akciğeri destekleyici bir cihaz kullanılarak yapılan kalp ameliyatı,8
açık kalpli,aıai,açık yürekli,4
açık kalplilik,aıaii,açık yüreklilik,5
açık kapı politikası,aıaıoiiaı,Yabancı malları bir ülkeye serbestçe sokma politikası; açık kapı siyaseti,9
açık kapı siyaseti,aıaıiaei,açık kapı politikası,8
açık kart,aıa,açık çek,3
açık kestane,aıeae,Kestane renginin bir veya birkaç ton açığı,5
açık kırmızı,aıııı,Kırmızının bir veya birkaç ton açığı,5
açık kredi,aıei,"Bankaların güvendikleri müşterilere rehin, ipotek veya kefil istemeksizin verdikleri borç para",4
açık liman,aıia,Gemilerin idari açıdan kolayca girip çıktıkları liman,4
açık lise,aıie,Liselerde uygulanan açık öğretim biçimi,4
açık maaşı,aıaaı,Görevinden alınan birine yasaca tanınan belirli bir süre içinde ödenen aylık,5
açık mavi,aıai,Mavinin bir veya birkaç ton açığı,4
açık mektup,aıeu,Yazıldığı kimseye gönderilmeyip basın yoluyla açıklanan mektup,4
açık ordugâh,aıou,Kırda kurulan ordugâh,4
açık oturum,aıouu,"Seçilmiş bir konuşmacı grubu tarafından güncel, siyasal, sosyal ve bilimsel konuların veya sorunların herkesin izleyebileceği bir biçimde açık olarak tartışıldığı toplantı; panel",5
açık oy,aıo,Verenin adını gösteren ve konuşulan sorun üzerindeki düşüncesini belli edecek biçimde verilen oy,3
açık öğretim,aıöei,"Dersleri radyo, televizyon vb. araçlarla yayımlanan veya kitapları posta ile ilgililere ulaştırılan öğretim biçimi",5
açık önerme,aıöee,İçerisinde değişken bulunan ve bu değişkenin alacağı değerle doğruluğu veya yanlışlığı kesinleşen önerme,5
açık pazar,aıaa,"Her devletin malını serbestçe satabileceği, gümrük işlemleri yapılmayan şehir veya ülke",4
açık pembe,aıee,Pembenin bir veya birkaç ton açığı,4
açık piyasa,aıiaa,Fiyatların tamamen arz ve talebe göre belirlendiği piyasa,5
açık poliçe,aıoie,Eksik bilgileri sonradan tamamlanmak üzere düzenlenen poliçe,5
açık raf,aıa,Kütüphanelerde ve mağazalarda kitapların ve malların kolaylıkla seçilebilmesini sağlamak üzere yapılmış sergen,3
açık rejim,aıei,Parlamenter rejim,4
açık saçık,aıaı,"Yüz kızartıcı, edepsiz, müstehcen, cinsel çağrışım yüklü (söz, anlatım)",4
açık saçıklık,aıaıı,Açık saçık olma durumu,5
açık sarı,aıaı,Sarının bir veya birkaç ton açığı,4
açık sayım,aıaı,Bir seçim sonunda verilen oyların açık olarak sayılması; aleni tadat,4
açık seçik,aıei,"Çok açık, çok belirgin",4
açık seçiklik,aıeii,Açık seçik olma durumu,5
açık senet,aıee,açık bono,4
açık sözlü,aıöü,"Her şeyi olduğu gibi söyleyen, sözünü esirgemeyen; dobra",4
açık sözlülük,aıöüü,Açık sözlü olma durumu,5
açık şehir,aıei,"Düşman saldırısına karşı savunma önlemleri alınmamış, içinde herhangi bir askerî hedef bulunmayan ve bu durumu önceden ilan edilmiş olan şehir",4
açık taşıt,aıaı,"Üstü örtülmemiş araba, otomobil vb",4
açık teşekkür,aıeeü,Herhangi birine veya kamuoyuna basın yoluyla edilen teşekkür,5
açık tohumlular,aıouua,Tohumları kozalak pulları üzerinde açık olarak bulunan çiçekli bitkilerin ayrıldığı iki büyük daldan biri; çıplak tohumlular,6
açık tribün,aıiü,Açık havadaki spor karşılaşmalarında seyircilerin oturduğu ve üstü kapalı olmayan bölüm,4
açık yara,aıaa,"Vücut dokusunda dış veya iç yırtılmayı içeren, deri veya mukozaların bütünlüğü bozulmuş yara",4
açık yeşil,aıei,Yeşilin bir veya birkaç ton açığı,4
açık yürekli,aıüei,"Düşündüğünü olduğu gibi söyleyen, içi temiz, gizli yönü olmayan (kimse); samimi, açık kalpli",5
açık yüreklilik,aıüeii,"Açık yürekli olma durumu; samimiyet, açık kalplilik",6
açık zaman,aıaa,Tutkalın yüzeye sürülmesi ile malzemelerin sıkıştırılması arasında geçen süre,4
açık,aı,"Açılmış, kapalı olmayan, kapalı karşıtı",2
açıkağız,aıaı,Turpgillerden bir bitki (Hesperis acris),4
açıkça,aıa,"Gizli bir yönü kalmaksızın, kolay anlaşılır bir biçimde; alenen",3
açıkçası,aıaı,Açık söylemek gerekirse; Türkçesi,4
açıkçı,aıı,Borsada fiyat dalgalanmalarından yararlanarak açıktan para kazanan kimse,3
açıkgöz,aıö,"Uyanık davranarak çıkar sağlayan, imkânlardan kurnazca yararlanmayı bilen; aynagöz, cingöz, uyanık",3
açıkgözlük,aıöü,açıkgözlülük,4
açıkgözlülük,aıöüü,"Açıkgöz olanın durumu; açıkgözlük, cingözlük",5
açıklama,aıaa,"Açıklamak işi; izah, tavzih",4
açıklama cümlesi,aıaaüei,"""Yani, demek ki, öyle ki, çünkü, fakat” gibi sözlerle başlayıp bir önceki cümleyle bağlantı kurarak ana cümlede anlatılmak istenen duygu ve düşünceyi daha iyi açıklamak ve pekiştirmek için kullanılan cümle",7
açıklamak,aıaa,Bir konuyla ilgili gerekli bilgileri vermek; izah etmek,4
açıklamalı,aıaaı,"Birtakım açıklamalarla anlaşılması, öğrenilmesi kolaylaştırılmış, izahlı",5
açıklanan,aıaa,Açıklamalar sonunda ortaya çıkması beklenen kavram; açıklayan,4
açıklanma,aıaa,Açıklanmak işi,4
açıklanmak,aıaa,Açıklama işi yapılmak,4
açıklar livası,aıaiaı,"İşi gücü olmayan, boşta kalan kimse",6
açıklaşma,aıaa,Açıklaşmak durumu,4
açıklaşmak,aıaa,Açık duruma gelmek,4
açıklaştırma,aıaıa,Açıklaştırmak işi,5
açıklaştırmak,aıaıa,Açık duruma getirmek,5
açıklatma,aıaa,Açıklatmak işi,4
açıklatmak,aıaa,Açıklamasını sağlamak,4
açıklayan,aıaa,açıklanan,4
açıklayıcı,aıaıı,Bir sorunu gerekli açıklığa kavuşturan,5
